ProfDefID;ProfilType;GeoDef;LineDef;Picture;Parameters;Fixed;Inputs;Para1;Para2;Para3;Para4;Para5;Para6;Para7;Para8;Para9;Para10;Para11;Para12;Para13;Para14;
1;vTruss_N;2;8;vTruN.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
2;pTruss_N;3;8;pTruN.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
3;cTruss_N;4;8;cTruN.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
6;vTruss.n;2;9;vTruNz.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
7;pTruss.n;3;9;pTruNz.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
8;cTruss.n;4;9;cTruNz.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
9;vTruss_Nn;2;10;vTruNNz.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
10;pTruss_Nn;3;10;pTruNNz.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
11;cTruss_Nn;4;10;cTruNNz.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
12;vTruss.nN;2;11;vTruNzN.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
13;pTruss.nN;3;11;pTruNzN.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
14;cTruss.nN;4;11;cTruNzN.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
15;vTruss_K;5;12;vTruK.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
16;pTruss_K;6;12;pTruK.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
17;cTruss_K;7;12;cTruK.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
18;vTruss.k;5;13;vTruKz.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
19;pTruss.k;6;13;pTruKz.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
20;cTruss.k;7;13;cTruKz.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
21;vTruss_Kk;5;14;vTruKKz.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
22;pTruss_Kk;6;14;pTruKKz.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
23;cTruss_Kk;7;14;cTruKKz.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
24;vTruss.kK;5;15;vTruKzK.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
25;pTruss.kK;6;15;pTruKzK.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
26;cTruss.kK;7;15;cTruKzK.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
27;vTruss_V;16;19;vTruV.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
28;pTruss_V;17;19;pTruV.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
29;cTruss_V;18;19;cTruV.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
30;vTruss.v;20;23;vTruVz.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
31;pTruss.v;21;23;pTruVz.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
32;cTruss.v;22;23;cTruVz.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
33;vTruss_M;2;24;vTruM.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
34;pTruss_M;3;24;pTruM.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
35;cTruss_M;4;24;cTruM.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
36;vTruss.m;2;25;vTruMz.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
