ProfDefID;ProfilType;GeoDef;LineDef;Picture;Parameters;Fixed;Inputs;Para1;Para2;Para3;Para4;Para5;Para6;Para7;Para8;Para9;Para10;Para11;Para12;Para13;Para14;
1;v3Truss_N_0;1;4;v3TruN0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
2;p3Truss_N_0;2;4;p3TruN0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
3;c3Truss_N_0;3;4;c3TruN0.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
4;v3Truss_N;1;5;v3TruN.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
5;p3Truss_N;2;5;p3TruN.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
6;c3Truss_N;3;5;c3TruN.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
7;v3Truss.n_0;1;6;v3TruNz0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
8;p3Truss.n_0;2;6;p3TruNz0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
9;c3Truss.n_0;3;6;c3TruNz0.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
10;v3Truss.n;1;7;v3TruNz.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
11;p3Truss.n;2;7;p3TruNz.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
12;c3Truss.n;3;7;c3TruNz.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
13;v3Truss_Nn_0;1;8;v3TrNNz0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
14;p3Truss_Nn_0;2;8;p3TrNNz0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
15;c3Truss_Nn_0;3;8;c3TrNNz0.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
16;v3Truss_Nn;1;9;v3TruNNz.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
17;p3Truss_Nn;2;9;p3TruNNz.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
18;c3Truss_Nn;3;9;c3TruNNz.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
19;v3Truss.nN_0;1;10;v3TrNzN0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
20;p3Truss.nN_0;2;10;p3TrNzN0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
21;c3Truss.nN_0;3;10;c3TrNzN0.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
22;v3Truss.nN;1;11;v3TruNzN.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
23;p3Truss.nN;2;11;p3TruNzN.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
24;c3Truss.nN;3;11;c3TruNzN.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
25;v3Truss_V_0;12;15;v3TruV0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
26;p3Truss_V_0;13;15;p3TruV0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
27;c3Truss_V_0;14;15;c3TruV0.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
28;v3Truss_V_X;12;16;v3TruVX.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
29;p3Truss_V_X;13;16;p3TruVX.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
30;c3Truss_V_X;14;16;c3TruVX.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
31;v3Truss.v_0;17;20;v3TruVz0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
32;p3Truss.v_0;18;20;p3TruVz0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
33;c3Truss.v_0;19;20;c3TruVz0.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
34;v3Truss.v_X;17;21;v3TruVzX.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
35;p3Truss.v_X;18;21;p3TruVzX.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
36;c3Truss.v_X;19;21;c3TruVzX.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
37;v3Truss_X_0;1;22;v3TruX0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
38;p3Truss_X_0;2;22;p3TruX0.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
39;c3Truss_X_0;3;22;c3TruX0.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
40;v3Truss_X;1;23;v3TruX.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
41;p3Truss_X;2;23;p3TruX.wmf;7;2;7;n;m;l;h;hu;hd;b; ; ; ; ; ; ; ;
42;c3Truss_X;3;23;c3TruX.wmf;6;2;6;n;m;ru;rd;fi;b; ; ; ; ; ; ; ; ;
