Figure NA.3 – Values of cr(z),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Height (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fetch (km),2,2.094,2.193,2.296,2.405,2.518,2.637,2.761,2.891,3.027,3.17,3.319,3.476,3.639,3.811,3.991,4.179,4.376,4.582,4.798,5.024,5.261,5.508,5.768,6.04,6.325,6.623,6.935,7.262,7.604,7.962,8.337,8.73,9.142,9.573,10.024,10.496,10.991,11.509,12.051,12.619,13.214,13.837,14.489,15.172,15.887,16.635,17.419,18.24,19.1,20,20.943,21.93,22.963,24.045,25.179,26.365,27.608,28.909,30.271,31.698,33.192,34.756,36.394,38.109,39.905,41.786,43.755,45.817,47.977,50.238,52.605,55.085,57.681,60.399,63.246,66.226,69.347,72.616,76.038,79.621,83.374,87.303,91.418,95.726,100.237,104.961,109.908,115.088,120.512,126.191,132.139,138.366,144.887,151.716,158.866,166.353,174.193,182.402,190.999,200,209.426,219.296,229.631,240.453,251.785,263.651,276.077,289.088,302.712
0.1,0.8438,0.8531,0.8624,0.8717,0.881,0.8903,0.8996,0.9089,0.9182,0.9275,0.9368,0.9461,0.9554,0.9647,0.974,0.9834,0.9927,1.002,1.0114,1.0207,1.03,1.0394,1.0487,1.0581,1.0675,1.0768,1.0862,1.0956,1.105,1.1144,1.1238,1.1332,1.1426,1.1521,1.1615,1.1709,1.1804,1.1899,1.1993,1.2088,1.2183,1.2278,1.2374,1.2469,1.2565,1.266,1.2756,1.2852,1.2948,1.3044,1.3141,1.3238,1.3334,1.3431,1.3513,1.3586,1.3659,1.3733,1.3807,1.3881,1.3955,1.4029,1.4104,1.4179,1.4254,1.433,1.4406,1.4482,1.4559,1.4636,1.4713,1.4791,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.107,0.8416,0.8508,0.8601,0.8694,0.8786,0.8879,0.8972,0.9064,0.9157,0.925,0.9343,0.9436,0.9528,0.9621,0.9714,0.9807,0.99,0.9993,1.0087,1.018,1.0273,1.0366,1.0459,1.0553,1.0646,1.074,1.0833,1.0927,1.102,1.1114,1.1208,1.1302,1.1396,1.149,1.1584,1.1678,1.1772,1.1867,1.1961,1.2056,1.2151,1.2246,1.2341,1.2436,1.2531,1.2626,1.2722,1.2818,1.2913,1.301,1.3106,1.3202,1.3299,1.3396,1.3493,1.3586,1.3659,1.3733,1.3807,1.3881,1.3955,1.4029,1.4104,1.4179,1.4254,1.433,1.4406,1.4482,1.4559,1.4636,1.4713,1.4791,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.115,0.8393,0.8486,0.8578,0.8671,0.8763,0.8856,0.8948,0.904,0.9133,0.9226,0.9318,0.9411,0.9503,0.9596,0.9689,0.9782,0.9874,0.9967,1.006,1.0153,1.0246,1.0339,1.0432,1.0525,1.0618,1.0711,1.0805,1.0898,1.0991,1.1085,1.1178,1.1272,1.1366,1.146,1.1553,1.1647,1.1742,1.1836,1.193,1.2024,1.2119,1.2213,1.2308,1.2403,1.2498,1.2593,1.2688,1.2784,1.288,1.2975,1.3071,1.3167,1.3264,1.336,1.3457,1.3554,1.3651,1.3733,1.3807,1.3881,1.3955,1.4029,1.4104,1.4179,1.4254,1.433,1.4406,1.4482,1.4559,1.4636,1.4713,1.4791,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.123,0.8372,0.8464,0.8556,0.8648,0.874,0.8833,0.8925,0.9017,0.9109,0.9202,0.9294,0.9386,0.9479,0.9571,0.9664,0.9756,0.9849,0.9941,1.0034,1.0127,1.0219,1.0312,1.0405,1.0498,1.0591,1.0684,1.0777,1.087,1.0963,1.1056,1.1149,1.1243,1.1336,1.143,1.1524,1.1617,1.1711,1.1805,1.1899,1.1993,1.2087,1.2182,1.2276,1.2371,1.2466,1.256,1.2656,1.2751,1.2846,1.2942,1.3037,1.3133,1.3229,1.3326,1.3422,1.3519,1.3616,1.3713,1.3807,1.3881,1.3955,1.4029,1.4104,1.4179,1.4254,1.433,1.4406,1.4482,1.4559,1.4636,1.4713,1.4791,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.132,0.835,0.8442,0.8534,0.8626,0.8718,0.881,0.8902,0.8994,0.9086,0.9178,0.927,0.9362,0.9455,0.9547,0.9639,0.9731,0.9824,0.9916,1.0008,1.0101,1.0193,1.0286,1.0378,1.0471,1.0564,1.0656,1.0749,1.0842,1.0935,1.1028,1.1121,1.1214,1.1307,1.1401,1.1494,1.1588,1.1681,1.1775,1.1869,1.1962,1.2056,1.2151,1.2245,1.2339,1.2434,1.2528,1.2623,1.2718,1.2813,1.2909,1.3004,1.31,1.3196,1.3292,1.3388,1.3484,1.3581,1.3678,1.3775,1.3873,1.3955,1.4029,1.4104,1.4179,1.4254,1.433,1.4406,1.4482,1.4559,1.4636,1.4713,1.4791,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.141,0.8329,0.8421,0.8513,0.8604,0.8696,0.8788,0.8879,0.8971,0.9063,0.9155,0.9247,0.9339,0.9431,0.9523,0.9615,0.9707,0.9799,0.9891,0.9983,1.0075,1.0167,1.026,1.0352,1.0444,1.0537,1.0629,1.0722,1.0815,1.0907,1.1,1.1093,1.1186,1.1279,1.1372,1.1465,1.1558,1.1652,1.1745,1.1839,1.1932,1.2026,1.212,1.2214,1.2308,1.2402,1.2497,1.2591,1.2686,1.2781,1.2876,1.2971,1.3067,1.3162,1.3258,1.3354,1.345,1.3547,1.3644,1.3741,1.3838,1.3935,1.4029,1.4104,1.4179,1.4254,1.433,1.4406,1.4482,1.4559,1.4636,1.4713,1.4791,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.151,0.8309,0.84,0.8491,0.8583,0.8674,0.8766,0.8857,0.8949,0.9041,0.9132,0.9224,0.9315,0.9407,0.9499,0.9591,0.9682,0.9774,0.9866,0.9958,1.005,1.0142,1.0234,1.0326,1.0418,1.0511,1.0603,1.0695,1.0788,1.088,1.0973,1.1065,1.1158,1.1251,1.1344,1.1436,1.153,1.1623,1.1716,1.1809,1.1903,1.1996,1.209,1.2184,1.2277,1.2371,1.2466,1.256,1.2654,1.2749,1.2844,1.2939,1.3034,1.313,1.3225,1.3321,1.3417,1.3513,1.361,1.3706,1.3803,1.3901,1.3998,1.4096,1.4179,1.4254,1.433,1.4406,1.4482,1.4559,1.4636,1.4713,1.4791,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.162,0.8288,0.8379,0.8471,0.8562,0.8653,0.8744,0.8836,0.8927,0.9018,0.911,0.9201,0.9293,0.9384,0.9476,0.9567,0.9659,0.975,0.9842,0.9934,1.0025,1.0117,1.0209,1.0301,1.0393,1.0485,1.0577,1.0669,1.0761,1.0853,1.0946,1.1038,1.1131,1.1223,1.1316,1.1408,1.1501,1.1594,1.1687,1.178,1.1873,1.1967,1.206,1.2154,1.2247,1.2341,1.2435,1.2529,1.2623,1.2718,1.2812,1.2907,1.3002,1.3097,1.3193,1.3288,1.3384,1.348,1.3576,1.3673,1.377,1.3867,1.3964,1.4062,1.416,1.4254,1.433,1.4406,1.4482,1.4559,1.4636,1.4713,1.4791,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.174,0.8268,0.8359,0.845,0.8541,0.8632,0.8723,0.8814,0.8905,0.8997,0.9088,0.9179,0.927,0.9361,0.9453,0.9544,0.9635,0.9727,0.9818,0.991,1.0001,1.0093,1.0184,1.0276,1.0368,1.046,1.0551,1.0643,1.0735,1.0827,1.0919,1.1011,1.1104,1.1196,1.1288,1.1381,1.1473,1.1566,1.1659,1.1752,1.1845,1.1938,1.2031,1.2124,1.2218,1.2311,1.2405,1.2499,1.2593,1.2687,1.2781,1.2876,1.2971,1.3066,1.3161,1.3256,1.3352,1.3447,1.3543,1.364,1.3736,1.3833,1.393,1.4028,1.4125,1.4224,1.4322,1.4406,1.4482,1.4559,1.4636,1.4713,1.4791,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
