"Figure NA.5 – Values of Iv(z),flat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Height (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fetch (km),2,2.094,2.193,2.296,2.405,2.518,2.637,2.761,2.891,3.027,3.17,3.319,3.476,3.639,3.811,3.991,4.179,4.376,4.582,4.798,5.024,5.261,5.508,5.768,6.04,6.325,6.623,6.935,7.262,7.604,7.962,8.337,8.73,9.142,9.573,10.024,10.496,10.991,11.509,12.051,12.619,13.214,13.837,14.489,15.172,15.887,16.635,17.419,18.24,19.1,20,20.943,21.93,22.963,24.045,25.179,26.365,27.608,28.909,30.271,31.698,33.192,34.756,36.394,38.109,39.905,41.786,43.755,45.817,47.977,50.238,52.605,55.085,57.681,60.399,63.246,66.226,69.347,72.616,76.038,79.621,83.374,87.303,91.418,95.726,100.237,104.961,109.908,115.088,120.512,126.191,132.139,138.366,144.887,151.716,158.866,166.353,174.193,182.402,190.999,200,209.426,219.296,229.631,240.453,251.785,263.651,276.077,289.088,302.712
0.1,0.213,0.2115,0.21,0.2086,0.2072,0.2051,0.2026,0.2001,0.1977,0.1953,0.193,0.1906,0.1884,0.1862,0.184,0.1818,0.1797,0.1776,0.1756,0.1735,0.1716,0.1696,0.1677,0.1658,0.1639,0.162,0.1602,0.1584,0.1566,0.1549,0.1531,0.1514,0.1497,0.148,0.1463,0.1447,0.143,0.1414,0.1398,0.1382,0.1366,0.135,0.1335,0.1319,0.1303,0.1288,0.1272,0.1257,0.1242,0.1226,0.1211,0.1196,0.1181,0.1165,0.1156,0.1148,0.1141,0.1133,0.1126,0.1118,0.111,0.1101,0.1093,0.1084,0.1075,0.1066,0.1057,0.1048,0.1038,0.1028,0.1018,0.1008,0.0997,0.0987,0.0976,0.0965,0.0953,0.0942,0.093,0.0918,0.0906,0.0894,0.0881,0.0868,0.0855,0.0842,0.0829,0.0816,0.0802,0.0789,0.0775,0.0761,0.0747,0.0734,0.072,0.0706,0.0692,0.0678,0.0664,0.065,0.0636,0.0622,0.0608,0.0595,0.0581,0.0568,0.0554,0.0541,0.0528,0.0515
0.107,0.213,0.2115,0.21,0.2086,0.2072,0.2058,0.204,0.2016,0.1991,0.1967,0.1944,0.192,0.1898,0.1875,0.1853,0.1832,0.1811,0.179,0.1769,0.1749,0.1729,0.1709,0.169,0.1671,0.1652,0.1634,0.1615,0.1597,0.1579,0.1562,0.1544,0.1527,0.151,0.1493,0.1476,0.146,0.1443,0.1427,0.1411,0.1395,0.1379,0.1363,0.1347,0.1331,0.1316,0.13,0.1285,0.1269,0.1254,0.1239,0.1223,0.1208,0.1193,0.1178,0.1162,0.1148,0.1141,0.1133,0.1126,0.1118,0.111,0.1101,0.1093,0.1084,0.1075,0.1066,0.1057,0.1048,0.1038,0.1028,0.1018,0.1008,0.0997,0.0987,0.0976,0.0965,0.0953,0.0942,0.093,0.0918,0.0906,0.0894,0.0881,0.0868,0.0855,0.0842,0.0829,0.0816,0.0802,0.0789,0.0775,0.0761,0.0747,0.0734,0.072,0.0706,0.0692,0.0678,0.0664,0.065,0.0636,0.0622,0.0608,0.0595,0.0581,0.0568,0.0554,0.0541,0.0528,0.0515
0.115,0.213,0.2115,0.21,0.2086,0.2072,0.2058,0.2044,0.203,0.2005,0.1981,0.1958,0.1934,0.1912,0.1889,0.1867,0.1846,0.1824,0.1803,0.1783,0.1762,0.1742,0.1723,0.1703,0.1684,0.1665,0.1647,0.1628,0.161,0.1592,0.1575,0.1557,0.154,0.1523,0.1506,0.1489,0.1472,0.1456,0.1439,0.1423,0.1407,0.1391,0.1375,0.1359,0.1344,0.1328,0.1312,0.1297,0.1282,0.1266,0.1251,0.1235,0.122,0.1205,0.1189,0.1174,0.1159,0.1143,0.1133,0.1126,0.1118,0.111,0.1101,0.1093,0.1084,0.1075,0.1066,0.1057,0.1048,0.1038,0.1028,0.1018,0.1008,0.0997,0.0987,0.0976,0.0965,0.0953,0.0942,0.093,0.0918,0.0906,0.0894,0.0881,0.0868,0.0855,0.0842,0.0829,0.0816,0.0802,0.0789,0.0775,0.0761,0.0747,0.0734,0.072,0.0706,0.0692,0.0678,0.0664,0.065,0.0636,0.0622,0.0608,0.0595,0.0581,0.0568,0.0554,0.0541,0.0528,0.0515
0.123,0.213,0.2115,0.21,0.2086,0.2072,0.2058,0.2044,0.2031,0.2018,0.1995,0.1971,0.1948,0.1925,0.1903,0.1881,0.1859,0.1838,0.1817,0.1796,0.1776,0.1756,0.1736,0.1716,0.1697,0.1678,0.166,0.1641,0.1623,0.1605,0.1587,0.157,0.1552,0.1535,0.1518,0.1501,0.1485,0.1468,0.1452,0.1435,0.1419,0.1403,0.1387,0.1372,0.1356,0.134,0.1325,0.1309,0.1294,0.1278,0.1263,0.1247,0.1232,0.1217,0.1201,0.1186,0.117,0.1155,0.114,0.1126,0.1118,0.111,0.1101,0.1093,0.1084,0.1075,0.1066,0.1057,0.1048,0.1038,0.1028,0.1018,0.1008,0.0997,0.0987,0.0976,0.0965,0.0953,0.0942,0.093,0.0918,0.0906,0.0894,0.0881,0.0868,0.0855,0.0842,0.0829,0.0816,0.0802,0.0789,0.0775,0.0761,0.0747,0.0734,0.072,0.0706,0.0692,0.0678,0.0664,0.065,0.0636,0.0622,0.0608,0.0595,0.0581,0.0568,0.0554,0.0541,0.0528,0.0515
0.132,0.213,0.2115,0.21,0.2086,0.2072,0.2058,0.2044,0.2031,0.2018,0.2005,0.1985,0.1962,0.1939,0.1916,0.1894,0.1872,0.1851,0.183,0.1809,0.1789,0.1769,0.1749,0.1729,0.171,0.1691,0.1672,0.1654,0.1636,0.1618,0.16,0.1582,0.1565,0.1548,0.1531,0.1514,0.1497,0.148,0.1464,0.1448,0.1432,0.1415,0.1399,0.1384,0.1368,0.1352,0.1336,0.1321,0.1305,0.129,0.1274,0.1259,0.1244,0.1228,0.1213,0.1197,0.1182,0.1167,0.1151,0.1136,0.112,0.111,0.1101,0.1093,0.1084,0.1075,0.1066,0.1057,0.1048,0.1038,0.1028,0.1018,0.1008,0.0997,0.0987,0.0976,0.0965,0.0953,0.0942,0.093,0.0918,0.0906,0.0894,0.0881,0.0868,0.0855,0.0842,0.0829,0.0816,0.0802,0.0789,0.0775,0.0761,0.0747,0.0734,0.072,0.0706,0.0692,0.0678,0.0664,0.065,0.0636,0.0622,0.0608,0.0595,0.0581,0.0568,0.0554,0.0541,0.0528,0.0515
0.141,0.213,0.2115,0.21,0.2086,0.2072,0.2058,0.2044,0.2031,0.2018,0.2005,0.1993,0.1975,0.1952,0.1929,0.1907,0.1885,0.1864,0.1843,0.1822,0.1802,0.1782,0.1762,0.1742,0.1723,0.1704,0.1685,0.1667,0.1648,0.163,0.1612,0.1595,0.1577,0.156,0.1543,0.1526,0.1509,0.1493,0.1476,0.146,0.1444,0.1427,0.1411,0.1396,0.138,0.1364,0.1348,0.1333,0.1317,0.1302,0.1286,0.1271,0.1255,0.124,0.1224,0.1209,0.1193,0.1178,0.1162,0.1147,0.1131,0.1116,0.1101,0.1093,0.1084,0.1075,0.1066,0.1057,0.1048,0.1038,0.1028,0.1018,0.1008,0.0997,0.0987,0.0976,0.0965,0.0953,0.0942,0.093,0.0918,0.0906,0.0894,0.0881,0.0868,0.0855,0.0842,0.0829,0.0816,0.0802,0.0789,0.0775,0.0761,0.0747,0.0734,0.072,0.0706,0.0692,0.0678,0.0664,0.065,0.0636,0.0622,0.0608,0.0595,0.0581,0.0568,0.0554,0.0541,0.0528,0.0515
0.151,0.213,0.2115,0.21,0.2086,0.2072,0.2058,0.2044,0.2031,0.2018,0.2005,0.1993,0.198,0.1965,0.1943,0.192,0.1899,0.1877,0.1856,0.1835,0.1815,0.1794,0.1774,0.1755,0.1736,0.1716,0.1698,0.1679,0.1661,0.1643,0.1625,0.1607,0.159,0.1572,0.1555,0.1538,0.1521,0.1505,0.1488,0.1472,0.1455,0.1439,0.1423,0.1407,0.1391,0.1376,0.136,0.1344,0.1329,0.1313,0.1298,0.1282,0.1267,0.1251,0.1236,0.122,0.1205,0.1189,0.1174,0.1158,0.1142,0.1127,0.1111,0.1095,0.1084,0.1075,0.1066,0.1057,0.1048,0.1038,0.1028,0.1018,0.1008,0.0997,0.0987,0.0976,0.0965,0.0953,0.0942,0.093,0.0918,0.0906,0.0894,0.0881,0.0868,0.0855,0.0842,0.0829,0.0816,0.0802,0.0789,0.0775,0.0761,0.0747,0.0734,0.072,0.0706,0.0692,0.0678,0.0664,0.065,0.0636,0.0622,0.0608,0.0595,0.0581,0.0568,0.0554,0.0541,0.0528,0.0515
0.162,0.213,0.2115,0.21,0.2086,0.2072,0.2058,0.2044,0.2031,0.2018,0.2005,0.1993,0.198,0.1968,0.1956,0.1933,0.1911,0.189,0.1869,0.1848,0.1827,0.1807,0.1787,0.1767,0.1748,0.1729,0.171,0.1691,0.1673,0.1655,0.1637,0.1619,0.1602,0.1584,0.1567,0.155,0.1533,0.1517,0.15,0.1484,0.1467,0.1451,0.1435,0.1419,0.1403,0.1387,0.1372,0.1356,0.134,0.1325,0.1309,0.1293,0.1278,0.1262,0.1247,0.1231,0.1216,0.12,0.1185,0.1169,0.1153,0.1138,0.1122,0.1106,0.109,0.1075,0.1066,0.1057,0.1048,0.1038,0.1028,0.1018,0.1008,0.0997,0.0987,0.0976,0.0965,0.0953,0.0942,0.093,0.0918,0.0906,0.0894,0.0881,0.0868,0.0855,0.0842,0.0829,0.0816,0.0802,0.0789,0.0775,0.0761,0.0747,0.0734,0.072,0.0706,0.0692,0.0678,0.0664,0.065,0.0636,0.0622,0.0608,0.0595,0.0581,0.0568,0.0554,0.0541,0.0528,0.0515
0.174,0.213,0.2115,0.21,0.2086,0.2072,0.2058,0.2044,0.2031,0.2018,0.2005,0.1993,0.198,0.1968,0.1956,0.1944,0.1924,0.1902,0.1881,0.186,0.184,0.1819,0.1799,0.178,0.176,0.1741,0.1722,0.1704,0.1685,0.1667,0.1649,0.1631,0.1614,0.1596,0.1579,0.1562,0.1545,0.1528,0.1512,0.1495,0.1479,0.1463,0.1447,0.1431,0.1415,0.1399,0.1383,0.1367,0.1352,0.1336,0.132,0.1305,0.1289,0.1274,0.1258,0.1242,0.1227,0.1211,0.1196,0.118,0.1164,0.1149,0.1133,0.1117,0.1101,0.1085,0.1069,0.1057,0.1048,0.1038,0.1028,0.1018,0.1008,0.0997,0.0987,0.0976,0.0965,0.0953,0.0942,0.093,0.0918,0.0906,0.0894,0.0881,0.0868,0.0855,0.0842,0.0829,0.0816,0.0802,0.0789,0.0775,0.0761,0.0747,0.0734,0.072,0.0706,0.0692,0.0678,0.0664,0.065,0.0636,0.0622,0.0608,0.0595,0.0581,0.0568,0.0554,0.0541,0.0528,0.0515
