"Figure NA.6 – Values of turbulence correction factor kI,T for sites in Town terrain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Height (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fetch (km),2,2.094,2.193,2.296,2.405,2.518,2.637,2.761,2.891,3.027,3.17,3.319,3.476,3.639,3.811,3.991,4.179,4.376,4.582,4.798,5.024,5.261,5.508,5.768,6.04,6.325,6.623,6.935,7.262,7.604,7.962,8.337,8.73,9.142,9.573,10.024,10.496,10.991,11.509,12.051,12.619,13.214,13.837,14.489,15.172,15.887,16.635,17.419,18.24,19.1,20,20.943,21.93,22.963,24.045,25.179,26.365,27.608,28.909,30.271,31.698,33.192,34.756,36.394,38.109,39.905,41.786,43.755,45.817,47.977,50.238,52.605,55.085,57.681,60.399,63.246,66.226,69.347,72.616,76.038,79.621,83.374,87.303,91.418,95.726,100.237,104.961,109.908,115.088,120.512,126.191,132.139,138.366,144.887,151.716,158.866,166.353,174.193,182.402,190.999,200,209.426,219.296,229.631,240.453,251.785,263.651,276.077,289.088,302.712
0.1,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7517,1.7251,1.6992,1.6741,1.6498,1.6261,1.6031,1.5807,1.5589,1.5376,1.5169,1.4968,1.4771,1.4579,1.4391,1.4208,1.4029,1.3855,1.3684,1.3516,1.3353,1.3192,1.3035,1.2881,1.273,1.2582,1.2437,1.2295,1.2155,1.2018,1.1883,1.175,1.162,1.1491,1.1365,1.1241,1.1118,1.0998,1.0879,1.0762,1.0646,1.0532,1.0419,1.0308,1.0197,1.0089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.107,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7402,1.7143,1.6891,1.6647,1.641,1.6179,1.5954,1.5736,1.5523,1.5315,1.5113,1.4916,1.4724,1.4536,1.4352,1.4173,1.3998,1.3827,1.3659,1.3495,1.3335,1.3177,1.3023,1.2872,1.2724,1.2579,1.2436,1.2296,1.2158,1.2023,1.1891,1.176,1.1632,1.1505,1.1381,1.1259,1.1138,1.1019,1.0902,1.0786,1.0672,1.056,1.0448,1.0338,1.0229,1.0122,1.0015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.115,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7292,1.704,1.6795,1.6557,1.6325,1.61,1.5881,1.5668,1.546,1.5257,1.506,1.4867,1.4679,1.4495,1.4315,1.414,1.3968,1.38,1.3636,1.3475,1.3318,1.3163,1.3012,1.2864,1.2718,1.2576,1.2435,1.2298,1.2163,1.203,1.1899,1.1771,1.1644,1.152,1.1397,1.1277,1.1158,1.1041,1.0925,1.0811,1.0699,1.0587,1.0477,1.0369,1.0261,1.0155,1.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.123,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7186,1.6941,1.6702,1.647,1.6245,1.6025,1.5811,1.5603,1.54,1.5202,1.5009,1.482,1.4636,1.4456,1.428,1.4108,1.394,1.3776,1.3615,1.3457,1.3302,1.3151,1.3002,1.2857,1.2714,1.2573,1.2436,1.23,1.2167,1.2037,1.1908,1.1782,1.1657,1.1535,1.1414,1.1295,1.1178,1.1063,1.0949,1.0836,1.0725,1.0615,1.0507,1.0399,1.0293,1.0188,1.0084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.132,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.7085,1.6846,1.6614,1.6388,1.6168,1.5953,1.5745,1.5541,1.5343,1.5149,1.496,1.4776,1.4595,1.4419,1.4247,1.4079,1.3914,1.3752,1.3594,1.344,1.3288,1.3139,1.2993,1.285,1.271,1.2572,1.2436,1.2303,1.2173,1.2044,1.1918,1.1793,1.1671,1.155,1.1431,1.1314,1.1198,1.1085,1.0972,1.0861,1.0751,1.0643,1.0536,1.043,1.0325,1.0221,1.0118,1.0016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.141,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.6989,1.6756,1.6529,1.6308,1.6094,1.5884,1.5681,1.5482,1.5288,1.5098,1.4914,1.4733,1.4557,1.4384,1.4215,1.405,1.3889,1.373,1.3575,1.3423,1.3275,1.3128,1.2985,1.2845,1.2707,1.2571,1.2438,1.2307,1.2178,1.2052,1.1927,1.1805,1.1684,1.1565,1.1448,1.1333,1.1219,1.1107,1.0996,1.0886,1.0778,1.0671,1.0565,1.046,1.0357,1.0254,1.0152,1.0051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.151,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6669,1.6448,1.6233,1.6023,1.5819,1.5619,1.5425,1.5235,1.505,1.4869,1.4692,1.452,1.4351,1.4185,1.4023,1.3865,1.371,1.3558,1.3408,1.3262,1.3119,1.2978,1.284,1.2704,1.2571,1.244,1.2311,1.2185,1.206,1.1938,1.1817,1.1698,1.1581,1.1466,1.1352,1.124,1.1129,1.1019,1.0911,1.0804,1.0699,1.0594,1.0491,1.0388,1.0286,1.0186,1.0086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.162,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6782,1.6586,1.637,1.616,1.5955,1.5755,1.5561,1.5371,1.5185,1.5004,1.4827,1.4654,1.4484,1.4319,1.4157,1.3998,1.3842,1.369,1.3541,1.3395,1.3251,1.311,1.2972,1.2836,1.2703,1.2572,1.2443,1.2316,1.2192,1.2069,1.1949,1.183,1.1713,1.1597,1.1484,1.1371,1.1261,1.1151,1.1043,1.0937,1.0831,1.0727,1.0623,1.0521,1.042,1.0319,1.0219,1.012,1.0022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.174,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6782,1.6684,1.6506,1.6295,1.609,1.589,1.5695,1.5504,1.5319,1.5137,1.496,1.4786,1.4617,1.4451,1.4288,1.4129,1.3974,1.3821,1.3672,1.3525,1.3382,1.3241,1.3102,1.2966,1.2833,1.2702,1.2573,1.2446,1.2322,1.2199,1.2078,1.196,1.1843,1.1727,1.1614,1.1501,1.1391,1.1282,1.1174,1.1067,1.0962,1.0858,1.0755,1.0652,1.0551,1.0451,1.0352,1.0253,1.0155,1.0057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
