#Definition of the spectrum;Class;Subsoil type;Limit state;k_ag;gamma_m;T_LSref;T_ref;beta
Elastic;CC3;A;NC;1.9;1.3;3600.0;50.0;3.1
Elastic;CC3;A;SD;1.7;1.0;2500.0;50.0;3.1
Elastic;CC3;A;DL;1.0;1.0;500.0;50.0;3.1
Elastic;CC3;B;NC;1.9;1.3;3600.0;50.0;3.1
Elastic;CC3;B;SD;1.5;1.0;1500.0;50.0;3.1
Elastic;CC3;B;DL;0.7;1.0;200.0;50.0;3.1
Elastic;CC2;A;NC;1.6;1.2;1800.0;50.0;2.7
Elastic;CC2;A;SD;1.5;1.0;1500.0;50.0;2.7
Elastic;CC2;A;DL;0.7;1.0;200.0;50.0;2.7
Elastic;CC2;B;NC;1.6;1.2;1800.0;50.0;2.7
Elastic;CC2;B;SD;1.3;1.3;1000.0;50.0;2.7
Elastic;CC2;B;DL;0.5;1.0;100.0;50.0;2.7
Elastic;CC2;C;NC;1.6;1.2;1800.0;50.0;2.7
Elastic;CC2;C;SD;1.0;1.0;500.0;50.0;2.7
Elastic;CC2;C;DL;0.4;1.0;50.0;50.0;2.7
Elastic;CC1;A;NC;1.4;1.1;1200.0;50.0;2.4
Elastic;CC1;A;SD;1.0;1.0;500.0;50.0;2.4
Elastic;CC1;A;DL;0.4;1.0;50.0;50.0;2.4
Elastic;CC1;B;NC;1.4;1.1;1200.0;50.0;2.4
Elastic;CC1;B;SD;0.7;1.0;200.0;50.0;2.4
Elastic;CC1;B;DL;0.3;1.0;30.0;50.0;2.4
Elastic;CC1;C;NC;1.4;1.1;350.0;15.0;3.0
Elastic;CC1;C;SD;1.4;1.1;350.0;15.0;3.0
Elastic;CC1;C;DL;1.4;1.1;350.0;15.0;3.0
Design;CC3;A;NC;1.8;1.3;3000.0;15.0;3.3
Design;CC3;A;SD;1.8;1.3;3000.0;15.0;3.3
Design;CC3;A;DL;1.8;1.3;3000.0;15.0;3.3
Design;CC3;B;NC;1.8;1.3;3000.0;15.0;3.3
Design;CC3;B;SD;1.8;1.3;3000.0;15.0;3.3
Design;CC3;B;DL;1.8;1.3;3000.0;15.0;3.3
Design;CC2;A;NC;1.5;1.2;1500.0;15.0;3.1
Design;CC2;A;SD;1.5;1.2;1500.0;15.0;3.1
Design;CC2;A;DL;1.5;1.2;1500.0;15.0;3.1
Design;CC2;B;NC;1.5;1.2;1500.0;15.0;3.1
Design;CC2;B;SD;1.5;1.2;1500.0;15.0;3.1
Design;CC2;B;DL;1.5;1.2;1500.0;15.0;3.1
Design;CC2;C;NC;1.5;1.2;1500.0;15.0;3.1
Design;CC2;C;SD;1.5;1.2;1500.0;15.0;3.1
Design;CC2;C;DL;1.5;1.2;1500.0;15.0;3.1
Design;CC1B;A;NC;1.2;1.1;800.0;15.0;2.8
Design;CC1B;A;SD;1.2;1.1;800.0;15.0;2.8
Design;CC1B;A;DL;1.2;1.1;800.0;15.0;2.8
Design;CC1B;B;NC;1.2;1.1;800.0;15.0;2.8
Design;CC1B;B;SD;1.2;1.1;800.0;15.0;2.8
Design;CC1B;B;DL;1.2;1.1;800.0;15.0;2.8
Design;CC1A;A;NC;1.2;1.1;200.0;1.0;2.8
Design;CC1A;A;SD;1.2;1.1;200.0;1.0;2.8
Design;CC1A;A;DL;1.2;1.1;200.0;1;2.8
